entity_type,entity_id,season,mu
driver,840,1,-0.11503175646066666
driver,841,1,0.011627547442913055
driver,842,1,0.25567561388015747
driver,843,1,-0.2420879304409027
driver,844,1,0.19900906085968018
driver,845,1,-0.34110304713249207
driver,846,1,0.36516016721725464
driver,847,1,-0.11677572131156921
driver,848,1,0.25473394989967346
driver,849,1,-0.19837915897369385
driver,850,1,-0.3950343132019043
driver,851,1,0.059950876981019974
driver,852,1,-0.015459714457392693
driver,853,1,-0.1389637440443039
driver,854,1,0.04587986320257187
driver,855,1,-0.07005316764116287
driver,856,1,-0.24677875638008118
driver,857,1,0.3418920636177063
driver,858,1,-0.1779869794845581
driver,859,1,0.2597813904285431
driver,860,1,0.2284814715385437
driver,861,1,0.23307865858078003
driver,862,1,-0.031568244099617004
constructor,1,1,0.15244156122207642
constructor,3,1,0.09232252836227417
constructor,4,1,-0.14964036643505096
constructor,5,1,0.15346844494342804
constructor,6,1,0.5236669778823853
constructor,9,1,0.6060477495193481
constructor,10,1,0.27322444319725037
constructor,15,1,-0.11603815853595734
constructor,131,1,0.4340144693851471
constructor,164,1,-0.8219656944274902
constructor,166,1,-0.5110964775085449
constructor,205,1,-0.45662620663642883
constructor,206,1,-0.2416677176952362
constructor,207,1,-0.3212091624736786
constructor,208,1,0.43870609998703003
constructor,209,1,-0.29151928424835205
constructor,210,1,0.23587074875831604
driver,1,2,0.689508318901062
driver,2,2,-0.4130716919898987
driver,3,2,0.5696854591369629
driver,4,2,1.0046463012695312
driver,5,2,-0.27598243951797485
driver,8,2,0.4272814691066742
driver,9,2,-0.19425800442695618
driver,10,2,-0.4017355144023895
driver,13,2,0.05312648415565491
driver,15,2,-0.5253568887710571
driver,16,2,-0.3759137988090515
driver,17,2,0.03806525468826294
driver,18,2,0.7232585549354553
driver,20,2,1.7711501121520996
driver,22,2,-0.2536826729774475
driver,24,2,-0.7865787744522095
driver,30,2,-0.5724464654922485
driver,37,2,-0.17852094769477844
driver,39,2,-0.5233043432235718
driver,67,2,-0.18342667818069458
driver,153,2,-0.36741209030151367
driver,154,2,0.04917550086975098
driver,155,2,0.050797827541828156
driver,807,2,0.32200857996940613
driver,808,2,0.057774219661951065
driver,811,2,-0.1682804822921753
driver,812,2,-0.816056489944458
driver,813,2,-0.30230745673179626
driver,814,2,-0.24179545044898987
driver,815,2,0.26233598589897156
driver,816,2,-0.7945155501365662
driver,817,2,0.13599717617034912
driver,818,2,-0.21202874183654785
driver,819,2,-0.21280452609062195
driver,820,2,-0.6564278602600098
driver,821,2,-0.08602817356586456
driver,822,2,0.005678310990333557
driver,823,2,-0.44342029094696045
driver,824,2,-0.46845895051956177
driver,825,2,0.33341097831726074
driver,826,2,0.20721504092216492
driver,827,2,-0.0056610628962516785
driver,828,2,-0.08152789622545242
driver,829,2,-0.34114348888397217
driver,830,2,0.4937269389629364
driver,831,2,0.3337281048297882
driver,832,2,0.5213966369628906
driver,833,2,0.05210844427347183
driver,834,2,0.19305896759033203
driver,835,2,-0.24524839222431183
driver,836,2,-0.16767984628677368
driver,837,2,-0.6357255578041077
driver,838,2,0.12070147693157196
driver,839,2,0.24219200015068054
driver,840,2,-0.15054532885551453
driver,841,2,0.015010335482656956
driver,842,2,0.31076884269714355
driver,843,2,-0.2476769983768463
driver,844,2,0.23365657031536102
driver,845,2,-0.42338359355926514
driver,846,2,0.4275359511375427
driver,847,2,-0.145160973072052
driver,848,2,0.2891814112663269
driver,849,2,-0.23102432489395142
driver,850,2,-0.4047431945800781
driver,851,2,0.05231083929538727
driver,852,2,-0.02256764844059944
driver,853,2,-0.13665403425693512
driver,854,2,0.056816454976797104
driver,855,2,-0.08771499991416931
driver,856,2,-0.24374258518218994
driver,857,2,0.3729836344718933
driver,858,2,-0.1835596114397049
driver,859,2,0.33041954040527344
